num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
6,12,18
3,3,9
27,44,147
12,16,30
9,11,44
7,14,19
2,2,4
53,11,103
2,4,4
2,1,2
35,134,574
8,7,14
20,22,54
28,29,156
2,2,4
20,22,126
2,2,2
22,35,48
40,127,652
33,54,157
138,186,1106
22,21,57
5,5,5
4,4,6
2,4,4
59,98,513
48,100,215
2,2,4
43,167,703
92,76,948
28,20,257
34,46,150
2,2,2
14,39,64
4,6,8
2,2,4
3,3,3
5,10,13
101,257,1763
63,83,294
5,12,20
10,18,20
1,1,25
5,13,13
124,112,2654
36,47,203
177,166,1619
13,25,37
5,10,13
11,17,37
6,6,11
2,2,4
8,6,48
139,147,2217
114,154,2413
19,12,19
48,71,299
74,97,499
22,19,139
16,14,112
12,29,32
2,1,45
3,6,6
34,33,194
5,10,10
150,360,2393
329,177,13451
24,27,50
47,102,537
122,360,3486
17,20,110
116,235,738
3,6,6
5,3,5
5,2,5
6,1,6
7,9,15
33,50,286
3,6,6
4,4,8
22,6,44
11,21,33
57,134,1359
8,11,12
22,92,224
3,2,6
47,26,223
2,1,2
21,20,308
8,5,14
3,3,3
6,8,16
16,8,32
2,2,4
2,4,4
2,2,2
2,4,4
72,75,1800
23,33,67
440,1013,5160
33,41,251
2,4,4
2,2,4
47,105,390
2,4,4
12,14,35
2,2,4
8,2,8
165,426,1644
108,388,1427
2,2,2
33,61,82
273,491,4157
34,51,83
18,27,49
1,1,3
186,189,3774
3,2,6
11,8,15
15,63,137
55,91,1178
42,74,283
236,500,2073
2,1,3
2,1,2
365,1444,9941
2,4,4
43,65,136
63,69,352
123,549,1695
2,1,2
154,243,1704
2,2,4
47,40,217
1,1,2
3,2,3
8,23,29
14,8,56
30,56,261
32,37,114
14,24,112
2,4,4
4,6,6
5,5,7
3,1,3
10,9,12
16,21,87
2,4,4
2,2,4
50,360,1000
3,3,9
39,88,177
2,2,4
4,18,22
2,2,4
99,40,3016
14,43,76
2,4,4
2,2,4
4,6,6
10,18,33
3,3,3
43,128,780
2,4,4
17,29,149
6,7,107
17,31,65
4,8,8
9,42,63
3,1,3
2,2,4
2,1,2
4,8,8
14,29,33
157,379,1650
11,12,38
2,4,4
9,8,36
3,3,9
52,59,573
60,117,353
3,3,9
45,32,781
48,139,495
20,13,323
2,4,4
41,54,255
34,126,248
5,2,10
3,6,6
2,1,2
2,4,4
115,547,2443
60,197,437
14,42,84
9,15,19
1,1,29
12,40,42
47,143,387
68,108,343
248,481,1610
15,27,50
2,2,4
4,8,8
16,23,42
7,9,11
1,2,2
9,9,15
16,30,42
26,15,26
155,385,2077
109,129,2758
30,25,88
53,137,304
88,97,854
22,116,122
18,32,34
37,29,71
2,2,2
2,2,4
27,36,225
6,16,20
216,691,3616
83,124,1463
38,61,102
1,13,13
74,178,793
169,440,4306
3,4,6
53,64,161
2,4,4
5,13,13
2,4,4
5,6,8
2,2,2
108,326,1647
10,23,58
11,13,35
11,17,31
4,4,8
17,7,49
2,4,4
53,189,334
2,4,4
8,11,22
25,51,145
6,30,78
8,8,13
81,138,2010
93,88,1546
6,10,16
2,2,2
9,1,9
59,69,688
35,68,237
2,2,2
108,153,1591
12,14,38
3,2,6
7,6,11
3,2,3
3,3,9
16,28,36
73,110,1282
30,65,164
65,75,586
33,51,108
499,941,5015
26,12,312
2,4,4
13,22,24
79,81,606
12,36,45
11,11,37
29,28,92
186,541,1987
118,471,1889
8,14,28
55,119,185
193,385,3418
15,45,107
20,61,86
128,375,3062
9,29,52
9,30,36
21,60,266
3,3,3
78,149,1508
11,16,18
220,579,2427
366,1491,12103
2,2,4
13,20,27
82,216,594
155,995,3374
2,4,4
24,56,168
2,2,4
18,37,72
2,4,4
4,2,4
3,6,9
2,2,4
2,4,4
5,7,13
2,2,4
16,35,116
2,1,2
2,2,2
39,42,227
257,479,2747
15,12,48
4,6,6
20,54,86
4,6,8
17,14,35
18,20,43
23,6,23
59,69,247
42,65,233
2,4,4
13,32,47
81,343,810
1,2,3
2,2,4
37,42,259
76,190,545
7,4,14
2,4,4
129,227,2718
133,269,2086
16,28,112
24,35,51
9,17,41
66,67,634
8,18,24
151,582,1007
5,12,15
2,2,4
8,9,11
2,1,2
2,4,4
126,348,2196
22,34,92
2,4,4
10,16,28
2,2,2
4,4,8
5,3,5
110,258,1542
14,50,73
20,48,63
42,95,356
5,13,75
24,33,120
11,15,21
7,3,7
