date,REGION_N,num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
2018-01-10,EAST REGION,54,114,340
2018-01-10,NORTH REGION,96,153,798
2018-01-10,NORTH-EAST REGION,16,13,29
2018-01-10,WEST REGION,15,27,42
2018-01-11,CENTRAL REGION,29,53,92
2018-01-11,EAST REGION,99,109,1031
2018-01-11,NORTH-EAST REGION,71,172,284
2018-01-11,WEST REGION,7,10,12
2018-01-12,CENTRAL REGION,6,7,12
2018-01-12,EAST REGION,41,54,227
2018-01-12,NORTH-EAST REGION,112,25,875
2018-01-12,WEST REGION,25,11,43
2018-01-13,CENTRAL REGION,21,29,48
2018-01-13,EAST REGION,10,18,37
2018-01-13,NORTH REGION,18,17,62
2018-01-13,WEST REGION,2,1,2
2018-01-14,EAST REGION,46,63,414
2018-01-14,WEST REGION,80,265,1122
2018-01-15,CENTRAL REGION,15,15,26
2018-01-15,EAST REGION,11,17,25
2018-01-15,NORTH REGION,17,23,68
2018-01-15,NORTH-EAST REGION,84,197,416
2018-01-15,WEST REGION,10,16,23
2018-01-16,CENTRAL REGION,61,115,186
2018-01-16,EAST REGION,64,116,610
2018-01-16,NORTH REGION,52,113,383
2018-01-16,NORTH-EAST REGION,21,13,142
2018-01-16,WEST REGION,15,18,45
2018-01-17,CENTRAL REGION,47,39,312
2018-01-17,EAST REGION,69,96,467
2018-01-17,NORTH REGION,88,143,553
2018-01-17,NORTH-EAST REGION,10,8,16
2018-01-17,WEST REGION,24,39,72
2018-01-18,CENTRAL REGION,19,47,71
2018-01-18,EAST REGION,20,70,118
2018-01-18,WEST REGION,8,13,13
2018-01-19,CENTRAL REGION,39,74,125
2018-01-19,EAST REGION,70,87,683
2018-01-19,NORTH REGION,45,67,361
2018-01-19,NORTH-EAST REGION,2,4,4
2018-01-19,WEST REGION,11,12,22
2018-01-20,CENTRAL REGION,14,12,42
2018-01-20,EAST REGION,25,61,74
2018-01-20,NORTH REGION,24,31,89
2018-01-20,WEST REGION,9,11,13
2018-01-21,CENTRAL REGION,3,4,6
2018-01-21,EAST REGION,52,37,452
2018-01-21,WEST REGION,89,138,1567
2018-01-22,CENTRAL REGION,15,18,32
2018-01-22,EAST REGION,21,39,65
